LebwohlLasher.py: Size: 50, Steps: 50, T*: 0.500: Order: 0.420, Time: 2.364852 s
         1506687 function calls (1490005 primitive calls) in 2.886 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       21    0.000    0.000    0.000    0.000 ipaddress.py:1512(__init__)
       26    0.000    0.000    0.000    0.000 core.py:7065(__init__)
        1    0.000    0.000    0.000    0.000 _scimath_impl.py:1(<module>)
      306    0.000    0.000    0.000    0.000 results.py:181(__new__)
     2380    0.000    0.000    0.000    0.000 typing.py:1427(<genexpr>)
    379/1    0.000    0.000    0.000    0.000 __config__.py:19(_cleanup)
       22    0.000    0.000    0.000    0.000 core.py:4533(_generateDefaultName)
        1    0.000    0.000    0.000    0.000 abc.py:1(<module>)
        1    0.000    0.000    0.000    0.000 secrets.py:1(<module>)
       58    0.000    0.000    0.000    0.000 _compiler.py:389(_mk_bitmap)
      112    0.000    0.000    0.000    0.000 {built-in method _abc._abc_init}
       26    0.000    0.000    0.000    0.000 core.py:7071(getdoc)
      180    0.000    0.000    0.000    0.000 cm.py:94(__getitem__)
       14    0.000    0.000    0.000    0.000 core.py:6445(__init__)
      443    0.000    0.000    0.000    0.000 copyreg.py:98(__newobj__)
  228/214    0.000    0.000    0.000    0.000 _compiler.py:439(_get_literal_prefix)
      175    0.000    0.000    0.000    0.000 _compiler.py:214(_compile_charset)
       29    0.000    0.000    0.000    0.000 __init__.py:1362(getLogger)
      509    0.000    0.000    0.000    0.000 _inspect.py:13(ismethod)
      686    0.000    0.000    0.000    0.000 typing.py:1437(__eq__)
       51    0.000    0.000    0.000    0.000 fromnumeric.py:89(_wrapreduction_any_all)
       38    0.000    0.000    0.000    0.000 transforms.py:1325(__init_subclass__)
        4    0.000    0.000    0.000    0.000 core.py:1651(__mul__)
      478    0.000    0.000    0.000    0.000 {method 'format' of 'str' objects}
     1071    0.000    0.000    0.000    0.000 {method 'pop' of 'dict' objects}
        1    0.000    0.000    0.000    0.000 datetime.py:1(<module>)
      682    0.000    0.000    0.000    0.000 {built-in method from_bytes}
        1    0.000    0.000    0.000    0.000 _constrained_layout.py:1(<module>)
      738    0.000    0.000    0.000    0.000 enum.py:58(_is_sunder)
      848    0.000    0.000    0.000    0.000 _parser.py:82(groups)
      221    0.000    0.000    0.000    0.000 _parser.py:230(__init__)
       25    0.000    0.000    0.000    0.000 _add_newdocs_scalars.py:72(add_newdoc_for_scalar_type)
       11    0.000    0.000    0.000    0.000 typing.py:1658(copy_with)
       22    0.000    0.000    0.000    0.000 __init__.py:133(check_shape)
       58    0.000    0.000    0.000    0.000 core.py:3455(parseImpl)
       51    0.000    0.000    0.000    0.000 shape_base.py:80(atleast_2d)
      184    0.000    0.000    0.000    0.000 colors.py:998(copy)
        3    0.000    0.000    0.000    0.000 deprecation.py:255(rename_parameter)
        2    0.000    0.000    0.000    0.000 _abc.py:662(_glob_selector)
   113/96    0.000    0.000    0.000    0.000 typing.py:1773(__hash__)
       19    0.000    0.000    0.000    0.000 {built-in method _functools.reduce}
        1    0.000    0.000    0.000    0.000 mlab.py:1(<module>)
       15    0.000    0.000    0.000    0.000 __init__.py:241(split)
      813    0.000    0.000    0.000    0.000 __init__.py:1003(<lambda>)
        9    0.000    0.000    0.000    0.000 getlimits.py:494(__new__)
  710/575    0.000    0.000    0.000    0.000 {built-in method builtins.hash}
       45    0.000    0.000    0.000    0.000 _abc.py:130(with_segments)
       73    0.000    0.000    0.000    0.000 enum.py:987(_find_data_type_)
        2    0.000    0.000    0.000    0.000 glob.py:370(selector)
      369    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:185(_path_isabs)
       21    0.000    0.000    0.000    0.000 _local.py:289(drive)
        1    0.000    0.000    0.000    0.000 _cm_listed.py:1(<module>)
      649    0.000    0.000    0.000    0.000 inspect.py:302(isclass)
       27    0.000    0.000    0.000    0.000 artist.py:44(allow_rasterization)
       53    0.000    0.000    0.000    0.000 _local.py:227(__str__)
       51    0.000    0.000    0.000    0.000 {method 'max' of 'numpy.ndarray' objects}
        1    0.000    0.000    0.000    0.000 numbers.py:1(<module>)
       14    0.000    0.000    0.000    0.000 hashlib.py:126(__get_openssl_constructor)
       38    0.000    0.000    0.000    0.000 rcsetup.py:759(<genexpr>)
     1267    0.000    0.000    0.000    0.000 {built-in method _thread.get_ident}
     1173    0.000    0.000    0.000    0.000 _parser.py:112(__init__)
        1    0.000    0.000    0.000    0.000 scale.py:748(_get_scale_docs)
        2    0.000    0.000    0.000    0.000 glob.py:414(wildcard_selector)
        1    0.000    0.000    0.000    0.000 contextvars.py:1(<module>)
      295    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:48(_new_module)
      509    0.000    0.000    0.000    0.000 _inspect.py:26(isfunction)
        2    0.000    0.000    0.000    0.000 glob.py:367(compile)
      149    0.000    0.000    0.000    0.000 _parser.py:894(_parse_flags)
      490    0.000    0.000    0.000    0.000 _inspect.py:41(iscode)
       52    0.000    0.000    0.000    0.000 ipaddress.py:1939(__init__)
       29    0.000    0.000    0.000    0.000 functools.py:544(decorating_function)
        1    0.000    0.000    0.000    0.000 __init__.py:599(matplotlib_fname)
        1    0.000    0.000    0.000    0.000 glob.py:322(_compile_pattern)
        1    0.000    0.000    0.000    0.000 figure.py:2424(Figure)
        5    0.000    0.000    0.000    0.000 typing.py:806(Optional)
     12/2    0.000    0.000    0.000    0.000 core.py:1711(makeOptionalList)
        1    0.000    0.000    0.000    0.000 bisect.py:1(<module>)
       78    0.000    0.000    0.000    0.000 core.py:4534(<genexpr>)
        1    0.000    0.000    0.000    0.000 base64.py:1(<module>)
       51    0.000    0.000    0.000    0.000 _linalg.py:207(_commonType)
      184    0.000    0.000    0.000    0.000 colors.py:815(__copy__)
      680    0.000    0.000    0.000    0.000 enum.py:199(__get__)
      135    0.000    0.000    0.000    0.000 core.py:2211(__eq__)
      548    0.000    0.000    0.000    0.000 rcsetup.py:191(validator)
       19    0.000    0.000    0.000    0.000 __init__.py:482(cycler)
        7    0.000    0.000    0.000    0.000 core.py:1618(__radd__)
      130    0.000    0.000    0.000    0.000 inspect.py:1784(_check_class)
        8    0.000    0.000    0.000    0.000 core.py:638(_setResultsName)
       76    0.000    0.000    0.000    0.000 {built-in method builtins.sum}
        1    0.000    0.000    0.000    0.000 ExifTags.py:305(GPS)
      578    0.000    0.000    0.000    0.000 {built-in method builtins.iter}
       36    0.000    0.000    0.000    0.000 {method '__typing_subst__' of 'typing.TypeVar' objects}
       53    0.000    0.000    0.000    0.000 _ufunc_config.py:448(__enter__)
       13    0.000    0.000    0.000    0.000 textwrap.py:470(indent)
     1736    0.000    0.000    0.000    0.000 typing.py:840(<genexpr>)
       33    0.000    0.000    0.000    0.000 _local.py:252(_from_parsed_string)
        4    0.000    0.000    0.000    0.000 getlimits.py:550(_init)
      861    0.000    0.000    0.000    0.000 {method 'items' of 'dict' objects}
        1    0.000    0.000    0.000    0.000 unicode.py:1(<module>)
      748    0.000    0.000    0.000    0.000 ast.py:272(iter_fields)
        1    0.000    0.000    0.000    0.000 transforms.py:209(BboxBase)
        1    0.000    0.000    0.000    0.000 _color_data.py:1(<module>)
      114    0.000    0.000    0.000    0.000 <frozen posixpath>:72(join)
        1    0.000    0.000    0.000    0.000 _nested_sequence.py:1(<module>)
        3    0.000    0.000    0.000    0.000 __init__.py:620(gen_candidates)
        1    0.000    0.000    0.000    0.000 backend_bases.py:2769(NavigationToolbar2)
      630    0.000    0.000    0.000    0.000 {method 'remove' of 'list' objects}
        1    0.000    0.000    0.000    0.000 TiffTags.py:439(_populate)
       23    0.000    0.000    0.000    0.000 core.py:5733(__init__)
     1614    0.000    0.000    0.000    0.000 {method 'isupper' of 'str' objects}
      344    0.000    0.000    0.000    0.000 typing.py:1765(__eq__)
      699    0.000    0.000    0.000    0.000 {built-in method numpy.asanyarray}
       33    0.000    0.000    0.000    0.000 <frozen zipimport>:68(__init__)
        1    0.000    0.000    0.000    0.000 registry.py:1(<module>)
       56    0.000    0.000    0.000    0.000 _local.py:498(__init__)
       13    0.000    0.000    0.000    0.000 typing.py:1715(copy_with)
  306/282    0.000    0.000    0.000    0.000 results.py:204(__init__)
      442    0.000    0.000    0.000    0.000 _compiler.py:573(isstring)
      613    0.000    0.000    0.000    0.000 _parser.py:171(__setitem__)
     1167    0.000    0.000    0.000    0.000 {method 'lower' of 'str' objects}
        1    0.000    0.000    0.000    0.000 _nbit_base.py:1(<module>)
       19    0.000    0.000    0.000    0.000 __init__.py:546(_cycler)
       51    0.000    0.000    0.000    0.000 _methods.py:41(_amax)
        9    0.000    0.000    0.000    0.000 core.py:1875(__call__)
       31    0.000    0.000    0.000    0.000 ipaddress.py:1286(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:563(get_configdir)
        2    0.000    0.000    0.000    0.000 hashlib.py:82(__get_builtin_constructor)
        1    0.000    0.000    0.000    0.000 array_utils.py:1(<module>)
        1    0.000    0.000    0.000    0.000 function_base.py:1(<module>)
        1    0.000    0.000    0.000    0.000 relativedelta.py:1(<module>)
      119    0.000    0.000    0.000    0.000 _parser.py:448(_uniq)
      352    0.000    0.000    0.000    0.000 {built-in method _imp.find_frozen}
       44    0.000    0.000    0.000    0.000 getlimits.py:93(_float_to_float)
        1    0.000    0.000    0.000    0.000 isoparser.py:1(<module>)
       10    0.000    0.000    0.000    0.000 version.py:47(parse)
        1    0.000    0.000    0.000    0.000 patches.py:3167(ArrowStyle)
        1    0.000    0.000    0.000    0.000 axis3d.py:38(Axis)
       30    0.000    0.000    0.000    0.000 _inspect.py:141(formatargspec)
       10    0.000    0.000    0.000    0.000 typing.py:2199(__init_subclass__)
      193    0.000    0.000    0.000    0.000 _compiler.py:470(_get_charset_prefix)
     1385    0.000    0.000    0.000    0.000 {built-in method builtins.id}
        1    0.000    0.000    0.000    0.000 heapq.py:1(<module>)
      383    0.000    0.000    0.000    0.000 socket.py:79(<lambda>)
      384    0.000    0.000    0.000    0.000 socket.py:84(<lambda>)
     2236    0.000    0.000    0.000    0.000 {built-in method builtins.chr}
        1    0.000    0.000    0.000    0.000 dviread.py:202(Dvi)
       20    0.000    0.000    0.000    0.000 contextlib.py:276(contextmanager)
       35    0.000    0.000    0.000    0.000 <frozen posixpath>:229(expanduser)
      386    0.000    0.000    0.000    0.000 socket.py:94(<lambda>)
        1    0.000    0.000    0.000    0.000 legend_handler.py:1(<module>)
       10    0.000    0.000    0.000    0.000 version.py:188(__init__)
      246    0.000    0.000    0.000    0.000 shape_base.py:208(_arrays_for_stack_dispatcher)
        1    0.000    0.000    0.000    0.000 _stride_tricks_impl.py:1(<module>)
      385    0.000    0.000    0.000    0.000 socket.py:89(<lambda>)
       96    0.000    0.000    0.000    0.000 _parser.py:311(_class_escape)
       19    0.000    0.000    0.000    0.000 __init__.py:226(_from_iter)
        1    0.000    0.000    0.000    0.000 __init__.py:582(get_cachedir)
       23    0.000    0.000    0.000    0.000 colors.py:1234(reversed)
      109    0.000    0.000    0.000    0.000 <frozen codecs>:322(decode)
      675    0.000    0.000    0.000    0.000 {built-in method sys.intern}
        7    0.000    0.000    0.000    0.000 core.py:6450(__add__)
        1    0.000    0.000    0.000    0.000 isoparser.py:42(isoparser)
        1    0.000    0.000    0.000    0.000 _iotools.py:1(<module>)
       16    0.000    0.000    0.000    0.000 <frozen abc>:110(register)
       33    0.000    0.000    0.000    0.000 __init__.py:678(__init__)
      356    0.000    0.000    0.000    0.000 inspect.py:306(ismethod)
      673    0.000    0.000    0.000    0.000 {method 'rfind' of 'str' objects}
      496    0.000    0.000    0.000    0.000 typing.py:1096(__eq__)
      355    0.000    0.000    0.000    0.000 {built-in method _imp.is_builtin}
       50    0.000    0.000    0.000    0.000 core.py:944(__init__)
       46    0.000    0.000    0.000    0.000 colors.py:1194(__init__)
      547    0.000    0.000    0.000    0.000 <frozen posixpath>:42(_get_sep)
        2    0.000    0.000    0.000    0.000 typing.py:3142(__new__)
        3    0.000    0.000    0.000    0.000 _abc.py:754(home)
        1    0.000    0.000    0.000    0.000 records.py:1(<module>)
       16    0.000    0.000    0.000    0.000 {built-in method _abc._abc_register}
       33    0.000    0.000    0.000    0.000 enum.py:1014(_find_new_)
       22    0.000    0.000    0.000    0.000 ipaddress.py:1187(_ip_int_from_string)
      157    0.000    0.000    0.000    0.000 {built-in method numpy.zeros}
       19    0.000    0.000    0.000    0.000 __init__.py:416(by_key)
        1    0.000    0.000    0.000    0.000 patches.py:4135(FancyArrowPatch)
      162    0.000    0.000    0.000    0.000 core.py:2678(__new__)
       35    0.000    0.000    0.000    0.000 ipaddress.py:1661(_ip_int_from_string)
       65    0.000    0.000    0.000    0.000 results.py:518(__iadd__)
       12    0.000    0.000    0.000    0.000 dataclasses.py:768(_get_field)
       44    0.000    0.000    0.000    0.000 functools.py:504(lru_cache)
      624    0.000    0.000    0.000    0.000 {built-in method _weakref._remove_dead_weakref}
      479    0.000    0.000    0.000    0.000 enum.py:69(_is_internal_class)
        1    0.000    0.000    0.000    0.000 shlex.py:1(<module>)
      195    0.000    0.000    0.000    0.000 _shape_base_impl.py:624(_column_stack_dispatcher)
        1    0.000    0.000    0.000    0.000 colorbar.py:196(Colorbar)
      221    0.000    0.000    0.000    0.000 {built-in method _sre.compile}
       24    0.000    0.000    0.000    0.000 dviread.py:184(decorate)
        1    0.000    0.000    0.000    0.000 getlimits.py:1(<module>)
       65    0.000    0.000    0.000    0.000 inspect.py:2140(_signature_is_builtin)
        1    0.000    0.000    0.000    0.000 _exceptions.py:1(<module>)
       85    0.000    0.000    0.000    0.000 typing.py:341(_unpack_args)
        1    0.000    0.000    0.000    0.000 collections.py:28(Collection)
      322    0.000    0.000    0.000    0.000 rcsetup.py:893(_convert_validator_spec)
       33    0.000    0.000    0.000    0.000 contextlib.py:145(__exit__)
        5    0.000    0.000    0.000    0.000 textwrap.py:419(dedent)
        1    0.000    0.000    0.000    0.000 ExifTags.py:361(LightSource)
      807    0.000    0.000    0.000    0.000 {function RcParams.__getitem__ at 0x7f4e2a4b91c0}
       13    0.000    0.000    0.000    0.000 core.py:8761(__init__)
       93    0.000    0.000    0.000    0.000 {built-in method posix.getcwd}
        4    0.000    0.000    0.000    0.000 typing.py:1634(__getitem__)
      985    0.000    0.000    0.000    0.000 {built-in method sys.getrecursionlimit}
      357    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:599(__init__)
       39    0.000    0.000    0.000    0.000 _local.py:166(__fspath__)
       12    0.000    0.000    0.000    0.000 functools.py:677(cache)
        1    0.000    0.000    0.000    0.000 _endian.py:1(<module>)
       10    0.000    0.000    0.000    0.000 typing.py:2073(__init__)
        1    0.000    0.000    0.000    0.000 _histograms_impl.py:1(<module>)
       56    0.000    0.000    0.000    0.000 _local.py:117(__init__)
        3    0.000    0.000    0.000    0.000 _local.py:800(expanduser)
       33    0.000    0.000    0.000    0.000 <frozen _collections_abc>:979(update)
      617    0.000    0.000    0.000    0.000 {method 'find' of 'bytearray' objects}
      221    0.000    0.000    0.000    0.000 _parser.py:954(fix_flags)
      945    0.000    0.000    0.000    0.000 {method '__subclasses__' of 'type' objects}
       44    0.000    0.000    0.000    0.000 results.py:663(copy)
      137    0.000    0.000    0.000    0.000 colors.py:1012(__init__)
      163    0.000    0.000    0.000    0.000 rcsetup.py:151(validate_bool)
        1    0.000    0.000    0.000    0.000 _compat_pickle.py:1(<module>)
     1890    0.000    0.000    0.000    0.000 __init__.py:887(<lambda>)
       51    0.000    0.000    0.000    0.000 shape_base.py:216(_vhstack_dispatcher)
       13    0.000    0.000    0.000    0.000 core.py:8766(getdoc)
     1359    0.000    0.000    0.000    0.000 inspect.py:3111(parameters)
      446    0.000    0.000    0.000    0.000 {built-in method builtins.repr}
       77    0.000    0.000    0.000    0.000 numerictypes.py:475(issubdtype)
        1    0.000    0.000    0.000    0.000 backend_tools.py:29(Cursors)
        1    0.000    0.000    0.000    0.000 legend.py:342(Legend)
      184    0.000    0.000    0.000    0.000 typing.py:1478(<genexpr>)
        6    0.000    0.000    0.000    0.000 numeric.py:2739(extend_all)
        1    0.000    0.000    0.000    0.000 unicode.py:123(pyparsing_unicode)
       52    0.000    0.000    0.000    0.000 _local.py:277(_raw_path)
       41    0.000    0.000    0.000    0.000 numeric.py:171(ones)
       56    0.000    0.000    0.000    0.000 ipaddress.py:533(_split_addr_prefix)
        1    0.000    0.000    0.000    0.000 _parser.py:58(_timelex)
        1    0.000    0.000    0.000    0.000 gzip.py:1(<module>)
      624    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:158(__init__)
        1    0.000    0.000    0.000    0.000 hatch.py:1(<module>)
      488    0.000    0.000    0.000    0.000 colors.py:358(<genexpr>)
       14    0.000    0.000    0.000    0.000 deprecation.py:185(finalize)
        6    0.000    0.000    0.000    0.000 enum.py:1596(__or__)
        1    0.000    0.000    0.000    0.000 {built-in method _imp.get_frozen_object}
       11    0.000    0.000    0.000    0.000 typing.py:1256(_generic_init_subclass)
       10    0.000    0.000    0.000    0.000 typing.py:1927(_get_protocol_attrs)
        1    0.000    0.000    0.000    0.000 unicode.py:85(identchars)
        1    0.000    0.000    0.000    0.000 hmac.py:1(<module>)
       36    0.000    0.000    0.000    0.000 dataclasses.py:709(_is_type)
        4    0.000    0.000    0.000    0.000 colors.py:2612(_make_norm_from_scale)
       34    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:169(_path_isdir)
      148    0.000    0.000    0.000    0.000 inspect.py:1810(_shadowed_dict)
      147    0.000    0.000    0.000    0.000 TiffTags.py:35(__new__)
      110    0.000    0.000    0.000    0.000 __init__.py:28(decorator)
        1    0.000    0.000    0.000    0.000 unicode.py:99(identbodychars)
        1    0.000    0.000    0.000    0.000 testing.py:1(<module>)
        1    0.000    0.000    0.000    0.000 lines.py:230(Line2D)
        1    0.000    0.000    0.000    0.000 patches.py:2380(BoxStyle)
        1    0.000    0.000    0.000    0.000 core.py:5629(__init__)
       51    0.000    0.000    0.000    0.000 _linalg.py:182(_makearray)
       28    0.000    0.000    0.000    0.000 __init__.py:1410(_fixupParents)
       44    0.000    0.000    0.000    0.000 core.py:3451(_generateDefaultName)
       88    0.000    0.000    0.000    0.000 ipaddress.py:1213(_parse_octet)
        1    0.000    0.000    0.000    0.000 backend_bases.py:1008(TimerBase)
        1    0.000    0.000    0.000    0.000 _distributor_init.py:1(<module>)
      265    0.000    0.000    0.000    0.000 overrides.py:107(array_function_dispatch)
       44    0.000    0.000    0.000    0.000 core.py:4442(<genexpr>)
      109    0.000    0.000    0.000    0.000 {built-in method _codecs.utf_8_decode}
      335    0.000    0.000    0.000    0.000 {built-in method numpy._core._multiarray_umath.add_docstring}
        2    0.000    0.000    0.000    0.000 _local.py:664(resolve)
       31    0.000    0.000    0.000    0.000 glob.py:424(select_wildcard)
       76    0.000    0.000    0.000    0.000 signal.py:9(<lambda>)
        1    0.000    0.000    0.000    0.000 mixins.py:1(<module>)
        8    0.000    0.000    0.000    0.000 core.py:4788(_generateDefaultName)
        1    0.000    0.000    0.000    0.000 calendar.py:60(Month)
       53    0.000    0.000    0.000    0.000 _ufunc_config.py:464(__exit__)
       27    0.000    0.000    0.000    0.000 _parser.py:273(getuntil)
        1    0.000    0.000    0.000    0.000 gridspec.py:1(<module>)
        1    0.000    0.000    0.000    0.000 {method 'read' of '_io.TextIOWrapper' objects}
       59    0.000    0.000    0.000    0.000 core.py:2103(set_name)
        4    0.000    0.000    0.000    0.000 functools.py:878(register)
        1    0.000    0.000    0.000    0.000 streamplot.py:1(<module>)
      359    0.000    0.000    0.000    0.000 {built-in method _thread.allocate_lock}
        1    0.000    0.000    0.000    0.000 core.py:6752(__new__)
        4    0.000    0.000    0.000    0.000 ast.py:54(literal_eval)
      323    0.000    0.000    0.000    0.000 __init__.py:821(__iter__)
      594    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:653(has_location)
        1    0.000    0.000    0.000    0.000 results.py:1(<module>)
      603    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:71(_relax_case)
       65    0.000    0.000    0.000    0.000 inspect.py:2487(_descriptor_get)
       26    0.000    0.000    0.000    0.000 core.py:972(__init__)
        2    0.000    0.000    0.000    0.000 deprecation.py:314(delete_parameter)
      357    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:412(__init__)
        1    0.000    0.000    0.000    0.000 glob.py:267(translate)
        1    0.000    0.000    0.000    0.000 umath.py:1(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:503(_get_xdg_config_dir)
        1    0.000    0.000    0.000    0.000 testing.py:17(pyparsing_test)
       22    0.000    0.000    0.000    0.000 core.py:1110(reset_cache)
       18    0.000    0.000    0.000    0.000 core.py:1048(__init__)
       33    0.000    0.000    0.000    0.000 contextlib.py:303(helper)
        2    0.000    0.000    0.000    0.000 core.py:4337(_setResultsName)
       90    0.000    0.000    0.000    0.000 {method 'reshape' of 'numpy.ndarray' objects}
      229    0.000    0.000    0.000    0.000 transforms.py:1330(<genexpr>)
        2    0.000    0.000    0.000    0.000 core.py:602(set_results_name)
      254    0.000    0.000    0.000    0.000 core.py:4218(<genexpr>)
      102    0.000    0.000    0.000    0.000 _linalg.py:201(_realType)
        2    0.000    0.000    0.000    0.000 <frozen posixpath>:391(realpath)
        1    0.000    0.000    0.000    0.000 cbook.py:597(_get_data_path)
        1    0.000    0.000    0.000    0.000 bezier.py:1(<module>)
      153    0.000    0.000    0.000    0.000 _linalg.py:187(isComplexType)
       29    0.000    0.000    0.000    0.000 __init__.py:1478(__init__)
       33    0.000    0.000    0.000    0.000 enum.py:936(_check_for_existing_members_)
        1    0.000    0.000    0.000    0.000 exceptions.py:30(ParseBaseException)
      183    0.000    0.000    0.000    0.000 colors.py:692(__init__)
       16    0.000    0.000    0.000    0.000 rcsetup.py:96(_listify_validator)
       16    0.000    0.000    0.000    0.000 typing.py:1757(<genexpr>)
       78    0.000    0.000    0.000    0.000 util.py:110(get)
       19    0.000    0.000    0.000    0.000 __init__.py:150(__init__)
        1    0.000    0.000    0.000    0.000 core.py:5928(Forward)
       50    0.000    0.000    0.000    0.000 getlimits.py:103(_float_conv)
       47    0.000    0.000    0.000    0.000 typing.py:3794(__getattr__)
        1    0.000    0.000    0.000    0.000 rcsetup.py:36(__getattr__)
        1    0.000    0.000    0.000    0.000 _ufunc_config.py:472(inner)
      139    0.000    0.000    0.000    0.000 {method 'astype' of 'numpy.ndarray' objects}
        8    0.000    0.000    0.000    0.000 core.py:5448(__init__)
      248    0.000    0.000    0.000    0.000 patches.py:2353(<genexpr>)
        1    0.000    0.000    0.000    0.000 _triinterpolate.py:578(_ReducedHCT_Element)
       78    0.000    0.000    0.000    0.000 util.py:113(set_)
       16    0.000    0.000    0.000    0.000 copyreg.py:107(_slotnames)
      221    0.000    0.000    0.000    0.000 _parser.py:76(__init__)
      158    0.000    0.000    0.000    0.000 core.py:874(preParse)
       44    0.000    0.000    0.000    0.000 getlimits.py:26(_fr1)
        1    0.000    0.000    0.000    0.000 mixins.py:59(NDArrayOperatorsMixin)
        1    0.000    0.000    0.000    0.000 __init__.py:513(_get_xdg_cache_dir)
        4    0.000    0.000    0.000    0.000 getlimits.py:88(_str_smallest_subnormal)
       12    0.000    0.000    0.000    0.000 {method 'sort' of 'list' objects}
       54    0.000    0.000    0.000    0.000 {built-in method numpy._core._multiarray_umath._make_extobj}
        1    0.000    0.000    0.000    0.000 patches.py:3888(FancyBboxPatch)
        1    0.000    0.000    0.000    0.000 core.py:125(Diagnostics)
       61    0.000    0.000    0.000    0.000 results.py:243(__getitem__)
       49    0.000    0.000    0.000    0.000 colors.py:404(<genexpr>)
        1    0.000    0.000    0.000    0.000 core.py:230(reload_library)
       30    0.000    0.000    0.000    0.000 rcsetup.py:63(__init__)
      230    0.000    0.000    0.000    0.000 _compiler.py:31(_combine_flags)
        1    0.000    0.000    0.000    0.000 abc.py:62(Traversable)
        1    0.000    0.000    0.000    0.000 core.py:4198(ParseExpression)
       30    0.000    0.000    0.000    0.000 core.py:4789(<genexpr>)
       48    0.000    0.000    0.000    0.000 _internal.py:893(_ufunc_doc_signature_formatter)
        1    0.000    0.000    0.000    0.000 patches.py:1313(Arrow)
        1    0.000    0.000    0.000    0.000 typing.py:797(_make_union)
        1    0.000    0.000    0.000    0.000 warnings.py:1(<module>)
      421    0.000    0.000    0.000    0.000 _compiler.py:431(_get_iscased)
        1    0.000    0.000    0.000    0.000 transforms.py:83(TransformNode)
        1    0.000    0.000    0.000    0.000 memmap.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _ufunc_config.py:1(<module>)
        1    0.000    0.000    0.000    0.000 offsetbox.py:1213(AnnotationBbox)
       21    0.000    0.000    0.000    0.000 overrides.py:24(get_array_function_like_doc)
      871    0.000    0.000    0.000    0.000 inspect.py:2820(default)
        1    0.000    0.000    0.000    0.000 patches.py:4517(ConnectionPatch)
        1    0.000    0.000    0.000    0.000 pprint.py:1(<module>)
      427    0.000    0.000    0.000    0.000 {built-in method builtins.globals}
       46    0.000    0.000    0.000    0.000 typing.py:1742(<genexpr>)
        1    0.000    0.000    0.000    0.000 core.py:190(update_user_library)
       22    0.000    0.000    0.000    0.000 <frozen os>:712(__getitem__)
        3    0.000    0.000    0.000    0.000 enum.py:1459(_missing_)
        1    0.000    0.000    0.000    0.000 patches.py:2745(ConnectionStyle)
        1    0.000    0.000    0.000    0.000 _compression.py:1(<module>)
      133    0.000    0.000    0.000    0.000 core.py:1929(set_whitespace_chars)
      229    0.000    0.000    0.000    0.000 transforms.py:1336(<genexpr>)
        1    0.000    0.000    0.000    0.000 core.py:2770(MaskedArray)
        1    0.000    0.000    0.000    0.000 Image.py:138(Transpose)
      234    0.000    0.000    0.000    0.000 {method 'values' of 'mappingproxy' objects}
        3    0.000    0.000    0.000    0.000 core.py:1763(__xor__)
       33    0.000    0.000    0.000    0.000 results.py:252(__setitem__)
        1    0.000    0.000    0.000    0.000 core.py:5000(ParseElementEnhance)
        1    0.000    0.000    0.000    0.000 deprecation.py:1(<module>)
      463    0.000    0.000    0.000    0.000 {built-in method builtins.vars}
       35    0.000    0.000    0.000    0.000 ipaddress.py:1641(_make_netmask)
       65    0.000    0.000    0.000    0.000 inspect.py:2154(_signature_is_functionlike)
       98    0.000    0.000    0.000    0.000 rcsetup.py:77(__call__)
        6    0.000    0.000    0.000    0.000 core.py:5583(__init__)
      555    0.000    0.000    0.000    0.000 typing.py:2371(cast)
        1    0.000    0.000    0.000    0.000 _datasource.py:1(<module>)
        1    0.000    0.000    0.000    0.000 calendar.py:77(Day)
        3    0.000    0.000    0.000    0.000 six.py:887(wrapper)
        4    0.000    0.000    0.000    0.000 inspect.py:3145(__hash__)
      101    0.000    0.000    0.000    0.000 core.py:6590(_expanded)
      170    0.000    0.000    0.000    0.000 textwrap.py:483(<lambda>)
       50    0.000    0.000    0.000    0.000 _add_newdocs.py:6629(refer_to_array_attribute)
       19    0.000    0.000    0.000    0.000 path.py:202(_update_values)
        1    0.000    0.000    0.000    0.000 __init__.py:593(get_data_path)
       28    0.000    0.000    0.000    0.000 rcsetup.py:474(_validate_linestyle)
      156    0.000    0.000    0.000    0.000 core.py:2220(__hash__)
      105    0.000    0.000    0.000    0.000 {method '__typing_prepare_subst__' of 'typing.TypeVar' objects}
      222    0.000    0.000    0.000    0.000 patches.py:2346(<genexpr>)
      154    0.000    0.000    0.000    0.000 numerictypes.py:293(issubclass_)
        1    0.000    0.000    0.000    0.000 _ufunclike_impl.py:1(<module>)
      578    0.000    0.000    0.000    0.000 enum.py:1217(__init__)
        1    0.000    0.000    0.000    0.000 _docstring.py:1(<module>)
       11    0.000    0.000    0.000    0.000 rcsetup.py:361(_validate_cmap)
