LebwohlLasher.py: Size: 50, Steps: 50, T*: 0.500: Order: 0.420, Time: 2.364852 s
         1506687 function calls (1490005 primitive calls) in 2.886 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    75032    0.010    0.000    0.011    0.000 {built-in method builtins.getattr}
      200    0.000    0.000    0.011    0.000 pyplot.py:175(_copy_docstring_and_deprecators)
      456    0.000    0.000    0.010    0.000 artist.py:1530(number_of_parameters)
        1    0.000    0.000    0.010    0.010 Image.py:1(<module>)
    74640    0.008    0.000    0.010    0.000 {built-in method builtins.isinstance}
        1    0.000    0.000    0.010    0.010 multiarray.py:1(<module>)
        1    0.000    0.000    0.010    0.010 polar.py:1(<module>)
        1    0.000    0.000    0.009    0.009 lines.py:1(<module>)
        1    0.000    0.000    0.009    0.009 textpath.py:1(<module>)
      230    0.001    0.000    0.009    0.000 typing.py:1423(__init__)
       94    0.001    0.000    0.009    0.000 __init__.py:1450(_preprocess_data)
    89210    0.009    0.000    0.009    0.000 {method 'lstrip' of 'str' objects}
        1    0.000    0.000    0.009    0.009 font_manager.py:1(<module>)
      403    0.001    0.000    0.008    0.000 <frozen importlib._bootstrap_external>:1215(get_data)
    99673    0.008    0.000    0.008    0.000 {method 'startswith' of 'str' objects}
      984    0.000    0.000    0.008    0.000 artist.py:1536(is_alias)
 1131/221    0.004    0.000    0.008    0.000 _compiler.py:37(_compile)
      100    0.000    0.000    0.008    0.000 pyplot.py:208(_add_pyplot_note)
        2    0.000    0.000    0.008    0.004 __init__.py:707(__getattr__)
3189/2710    0.003    0.000    0.008    0.000 {built-in method __new__ of type object at 0x558034bd9ae0}
     4409    0.004    0.000    0.008    0.000 artist.py:1549(aliased_name)
    43/39    0.000    0.000    0.007    0.000 <frozen importlib._bootstrap_external>:1327(exec_module)
       41    0.001    0.000    0.007    0.000 enum.py:498(__new__)
    43/39    0.005    0.000    0.007    0.000 {built-in method _imp.exec_dynamic}
      426    0.000    0.000    0.007    0.000 rcsetup.py:332(validate_color)
        1    0.000    0.000    0.007    0.007 _machar.py:1(<module>)
        1    0.000    0.000    0.007    0.007 _char_codes.py:1(<module>)
       50    0.000    0.000    0.007    0.000 typing.py:580(__getitem__)
      624    0.002    0.000    0.007    0.000 <frozen importlib._bootstrap>:304(acquire)
16388/16385    0.006    0.000    0.007    0.000 {method 'join' of 'str' objects}
      429    0.000    0.000    0.007    0.000 colors.py:224(is_color_like)
        1    0.000    0.000    0.007    0.007 axis3d.py:1(<module>)
      462    0.000    0.000    0.006    0.000 colors.py:278(to_rgba)
        1    0.000    0.000    0.006    0.006 fromnumeric.py:1(<module>)
       50    0.001    0.000    0.006    0.000 typing.py:812(Literal)
        1    0.000    0.000    0.006    0.006 quiver.py:1(<module>)
        1    0.000    0.000    0.006    0.006 common.py:1(<module>)
        1    0.000    0.000    0.006    0.006 colorizer.py:1(<module>)
        1    0.000    0.000    0.006    0.006 _array_like.py:1(<module>)
